,topic,text
159,"[mixture, models, alternative, view, relation, -means]"," comparison means algorithm algorithm gaussian mixtures shows close similarity whereas means algorithm performs hard assignment data points clusters data point associated uniquely one cluster algorithm makes soft assignment based posterior probabilities fact derive means algorithm particular limit gaussian mixtures follows consider gaussian mixture model covariance matrices mixture components given variance parameter shared mixture models components identity matrix exp consider algorithm mixture gaussians form treat ﬁxed constant instead parameter estimated posterior probabilities responsibilities particular data point given exponent consider limit see denominator term smallest zero slowly hence responsibilities data point zero except term responsibility unity note holds independently values long none zero thus limit obtain hard assignment data points clusters means algorithm deﬁned data point thereby assigned cluster closest mean estimation equation given reduces means result note estimation formula mixing coefﬁcients simply sets value equal fraction data points assigned cluster although parameters longer play active role algorithm finally limit expected complete data log likelihood given becomes exercise const thus see limit maximizing expected complete data log likelihood equivalent minimizing distortion measure means algorithm given note means algorithm estimate covariances clus ters cluster means hard assignment version gaussian mixture model general covariance matrices known elliptical means algorithm considered sung poggio 
"
160,"[mixture, models, alternative, view, mixtures, bernoulli, distributions]"," far chapter focussed distributions continuous variables described mixtures gaussians example mixture modelling illustrate algorithm different context discuss mix tures discrete binary variables described bernoulli distributions model also known latent class analysis lazarsfeld henry mclachlan peel well practical importance right discussion bernoulli mixtures also lay foundation consideration hidden markov models discrete variables section alternative view consider set binary variables governed bernoulli distribution parameter see individual variables independent given mean covariance distribution easily seen covariance diag let consider ﬁnite mixture distributions given mean covariance mixture distribution given exercise covariance diag covariance matrix covariance longer diagonal mixture distribution capture correlations variables unlike single bernoulli distribution given data set log likelihood function model given see appearance summation inside logarithm maximum likelihood solution longer closed form derive algorithm maximizing likelihood function mixture bernoulli distributions ﬁrst introduce explicit latent mixture models variable associated instance case gaussian mixture binary dimensional variable single component equal components equal write conditional distribution given latent variable prior distribution latent variables mixture gaussians model form product marginalize recover exercise order derive algorithm ﬁrst write complete data log likelihood function given next take expectation complete data log likelihood respect posterior distribution latent variables give posterior probability responsibility component given data point step responsibilities evaluated using bayes theorem takes form alternative view consider sum see responsibilities enter two terms written effective number data points associated component step maximize expected complete data log likelihood respect parameters set derivative respect equal zero rearrange terms obtain exercise see sets mean component equal weighted mean data weighting coefﬁcients given responsibilities component takes data points maximization respect need introduce lagrange multiplier enforce constraint following analogous steps used mixture gaussians obtain exercise represents intuitively reasonable result mixing coefﬁcient component given effective fraction points data set explained component note contrast mixture gaussians singularities likelihood function goes inﬁnity seen noting likelihood function bounded exist exercise singularities likelihood function goes zero found provided initialized pathological starting point algorithm always increases value likelihood function local maximum found illustrate bernoulli mixture model figure section using model handwritten digits digit images turned binary vectors setting elements whose values exceed setting remaining elements data set digits comprising digits mixture bernoulli distributions running iterations algorithm mixing coefﬁcients initialized parameters set random values chosen uniformly range normalized satisfy constraint see mixture bernoulli distributions able ﬁnd three clusters data set corresponding different digits conjugate prior parameters bernoulli distribution given beta distribution seen beta prior equivalent introducing mixture models figure illustration bernoulli mixture model top row shows examples digits data set converting pixel values grey scale binary using threshold bottom row ﬁrst three images show parameters three components mixture model comparison also data set using single multivariate bernoulli distribution using maximum likelihood amounts simply averaging counts pixel shown right image bottom row additional effective observations similarly introduce priors section bernoulli mixture model use maximize posterior probability distri butions exercise straightforward extend analysis bernoulli mixtures case multinomial binary variables states making use discrete dis exercise tribution introduce dirichlet priors model parameters desired 
"
161,"[mixture, models, alternative, view, bayesian, linear, regression]"," third example application return evidence proximation bayesian linear regression section obtained estimation equations hyperparameters evaluation evidence setting derivatives resulting expression zero turn alternative approach ﬁnding based algorithm recall goal maximize evidence function given respect parameter vector marginalized regard latent variable hence optimize marginal likelihood function using step compute posterior distribution given current setting parameters use ﬁnd expected complete data log likelihood step maximize quantity respect already derived posterior distribution given complete data log likelihood function given alternative view likelihood prior given respectively given taking expectation respect posterior distribution gives setting derivatives respect zero obtain step estimation equation exercise analogous result holds exercise note estimation equation takes slightly different form corresponding result derived direct evaluation evidence function however involve computation inversion eigen decomposition matrix hence comparable computational cost per iteration two approaches determining course converge result assuming ﬁnd local maximum evidence function veriﬁed ﬁrst noting quantity deﬁned stationary point evidence function estimation equation self consistently satisﬁed hence substitute give solving obtain precisely estimation equation ﬁnal example consider closely related model namely relevance vector machine regression discussed section used direct maximization marginal likelihood derive estimation equations hyper parameters consider alternative approach view weight vector latent variable apply algorithm step involves ﬁnding posterior distribution weights given step maximize expected complete data log likelihood deﬁned expectation taken respect posterior distribution computed using old parameter values compute new parameter values maximize respect give exercise mixture models new new estimation equations formally equivalent obtained direct maxmization exercise 
"
162,"[mixture, models, algorithm, general]"," expectation maximization algorithm algorithm general technique ﬁnding maximum likelihood solutions probabilistic models latent variables dempster mclachlan krishnan give general treatment algorithm process provide proof algorithm derived heuristically sections gaussian mixtures indeed maximize likelihood function csisz tusn ady hath away neal hinton discussion also form basis derivation variational inference framework section consider probabilistic model collectively denote served variables hidden variables joint distribution governed set parameters denoted goal maximize likelihood function given assuming discrete although discussion identical comprises continuous variables combination discrete continuous variables summation replaced integration appropriate shall suppose direct optimization difﬁcult opti mization complete data likelihood function signiﬁcantly easier next introduce distribution deﬁned latent variables serve choice following decomposition holds deﬁned note functional see appendix discussion functionals distribution function parameters worth studying algorithm general figure illustration decomposition given holds choice distribution kullback leibler divergence satisﬁes lower bound log likelihood function contains joint distribution contains conditional distribution given verify decomposition ﬁrst make use product rule probability give exercise substitute expression gives rise two terms one cancels gives required log likelihood noting normalized distribution sums see kullback leibler divergence posterior distribution recall kullback leibler vergence satisﬁes equality section therefore follows words lower bound decomposition illustrated figure algorithm two stage iterative optimization technique ﬁnding old step lower bound old maximized respect holding old ﬁxed old depend largest value old old case lower bound equal log likelihood illustrated figure subsequent step distribution held ﬁxed lower bound maximized respect give new value new cause lower bound increase unless already maximum new hence nonzero divergence increase log likelihood function therefore greater increase lower bound mixture models figure old causing lower old old shown figure substitute old see step lower bound takes form old old old old const thus step quantity maximized optimizing appears inside logarithm joint distribution comprises member operation algorithm also viewed space parame ters illustrated schematically figure red curve depicts figure distribution held ﬁxed lower bound give revised value new new new algorithm general figure old new old ﬁrst step evaluate poste rior distribution latent variables gives rise lower bound old whose value equals log likelihood old shown blue curve note bound makes tangential contact log likelihood old curves gradient bound convex function unique exercise new gives larger value log likelihood old subsequent step constructs bound tangential new shown green curve particular case independent identically distributed data set comprise data points comprise corresponding latent variables independence assumption marginalizing using sum product rules see posterior probability evaluated step takes form depends value parameters mixture components values data points seen steps algorithm increasing value well deﬁned bound log likelihood function mixture models complete cycle change model parameters way cause log likelihood increase unless already maximum case parameters remain unchanged also use algorithm maximize posterior distribution models introduced prior parameters see note function making use decomposition constant optimize right hand side alternately respect optimization respect gives rise step equations standard algorithm appears step equations modiﬁed introduction prior term typically requires small modiﬁcation standard maximum likelihood step equations algorithm breaks potentially difﬁcult problem maximizing likelihood function two stages step step often prove simpler implement nevertheless complex models may case either step step indeed remain intractable leads two possible extensions algorithm follows generalized gem algorithm addresses problem intractable step instead aiming maximize respect seeks instead change parameters way increase value lower bound log likelihood function complete cycle gem algorithm guaranteed increase value log likelihood unless parameters already correspond local maximum one way exploit gem approach would use one nonlinear optimization strategies conjugate gradients algorithm step another form gem algorithm known expectation conditional maximization ecm algorithm involves making several constrained optimizations within step meng rubin instance parameters might partitioned groups step broken multiple steps involves optimizing one subset remainder held ﬁxed similarly generalize step algorithm performing partial rather complete optimization respect neal hinton seen given value unique maximum respect corresponds posterior distribution choice bound equal log likelihood function follows algorithm converges global maximum ﬁnd value also global maximum log likelihood provided continuous function exercises continuity local maximum also local maximum consider case independent data points corresponding latent variables joint distribution factorizes data points structure exploited incremental form cycle one data point processed time step instead recomputing responsibilities data points evaluate responsibilities one data point might appear subsequent step would require computation involving responsibilities data points ever mixture components members exponential family responsibilities enter simple sufﬁcient statistics dated efﬁciently consider instance case gaussian mixture suppose perform update data point corresponding old new values responsibilities denoted old new step required sufﬁcient statistics updated incrementally instance means sufﬁcient statistics deﬁned obtain exercise new old new old new old together new old new old corresponding results covariances mixing coefﬁcients analogous thus step step take ﬁxed time independent total number data points parameters revised data point rather waiting whole data set processed incremental version converge faster batch version step incremental algorithm increasing value shown algorithm converges local global maximum correspond local global maximum log likelihood function 
"
163,"[mixture, models, exercises]"," consider means algorithm discussed section show consequence ﬁnite number possible assignments set discrete indicator variables assignment unique optimum means algorithm must converge ﬁnite number iterations apply robbins monro sequential estimation procedure described section problem ﬁnding roots regression function given derivatives respect show leads stochastic means algorithm data point nearest prototype updated using mixture models consider gaussian mixture model marginal distribution latent variable given conditional distribution observed variable given show marginal distribution obtained summing possible values gaussian mixture form suppose wish use algorithm maximize posterior distri bution parameters model containing latent variables observed data set show step remains maximum likelihood case whereas step quantity maximized given old old deﬁned consider directed graph gaussian mixture model shown figure making use separation criterion discussed section show posterior distribution latent variables factorizes respect different data points consider special case gaussian mixture model covariance matrices components constrained common value derive equations maximizing likelihood function model verify maximization complete data log likelihood gaussian mixture model leads result means covariances component ﬁtted independently corresponding group data points mixing coefﬁcients given fractions points group show maximize respect keeping responsibilities ﬁxed obtain closed form solution given show maximize respect keeping responsibilities ﬁxed obtain closed form solutions given consider density model given mixture distribution suppose partition vector two parts show conditional density mixture distribution ﬁnd expressions mixing coefﬁcients component densities exercises section obtained relationship means gaussian mixtures considering mixture model components covariance show limit maximizing expected complete data log likelihood model given equivalent minimizing distortion measure means algorithm given consider mixture distribution form elements could discrete continuous combination denote mean covariance respectively show mean covariance mixture distribution given using estimation equations algorithm show mix ture bernoulli distributions parameters set values corresponding maximum likelihood function property hence show parameters model initialized components mean algorithm converge one iteration choice initial mixing coefﬁcients solution property note represents degenerate case mixture model components identical practice try avoid solutions using appropriate initialization consider joint distribution latent observed variables bernoulli distribution obtained forming product given given show marginalize joint distribution respect obtain show maximize expected complete data log likelihood function mixture bernoulli distributions respect obtain step equation show maximize expected complete data log likelihood function mixture bernoulli distributions respect mixing coefﬁcients using lagrange multiplier enforce summation constraint obtain step equation show consequence constraint discrete variable incomplete data log likelihood function mixture bernoulli distributions bounded hence singularities likelihood goes inﬁnity mixture models consider bernoulli mixture model discussed section together prior distribution parameter vectors given beta distribution dirichlet prior given derive algorithm maximizing posterior probability consider dimensional variable whose components multinomial variable degree binary vector components subject constraint suppose distribution variables described mixture discrete multinomial distributions considered section kij parameters kij represent probabilities must satisfy kij together constraint kij values given observed data set derive step equations algorithm optimizing mixing coefﬁcients component parameters kij distribution maximum likelihood show maximization expected complete data log likelihood function bayesian linear regression model leads step estimation result using evidence framework section derive step estimation equations parameter bayesian linear regression model analogous result maximization expected complete data log likelihood deﬁned derive step equations estimating hyperparameters relevance vector machine regression section used direct maximization marginal like lihood derive estimation equations ﬁnding values hyperparameters regression rvm similarly section used algorithm maximize marginal likelihood giving estimation equations show two sets estimation equations formally equivalent verify relation deﬁned respectively exercises show lower bound given old gradient respect log likelihood function point old consider incremental form algorithm mixture gaussians responsibilities recomputed speciﬁc data point starting step formulae derive results updating component means derive step formulae updating covariance matrices mixing coefﬁcients gaussian mixture model responsibilities updated crementally analogous result updating means 
"
164,"[approximate, inference]"," central task application probabilistic models evaluation posterior distribution latent variables given observed visible data variables evaluation expectations computed respect distributionmodel might also contain deterministic parameters leave implicit moment may fully bayesian model unknown parameters given prior distributions absorbed set latent variables denoted vector instance algorithm need evaluate expectation complete data log likelihood respect posterior distribution latent variables many models practical interest infeasible evaluate posterior distribution indeed compute expec tations respect distribution could dimensionality latent space high work directly posterior distribution highly complex form expectations analytically tractable case continuous variables required integrations may closed form approximate inference analytical solutions dimensionality space complexity integrand may prohibit numerical integration discrete variables marginal izations involve summing possible conﬁgurations hidden variables though always possible principle often ﬁnd practice may exponentially many hidden states exact calculation prohibitively expensive situations need resort approximation schemes fall broadly two classes according whether rely stochastic deterministic approximations stochastic techniques markov chain monte carlo scribed chapter enabled widespread use bayesian methods across many domains generally property given inﬁnite computational resource generate exact results approximation arises use ﬁnite amount processor time practice sampling methods compu tationally demanding often limiting use small scale problems also difﬁcult know whether sampling scheme generating independent samples required distribution chapter introduce range deterministic approximation schemes scale well large applications based analytical proximations posterior distribution example assuming factorizes particular way speciﬁc parametric form gaussian never generate exact results strengths weaknesses complementary sampling methods section discussed laplace approximation based local gaussian approximation mode maximum distribution turn family approximation techniques called variational inference variational bayes use global criteria widely applied conclude brief introduction alternative variational framework known expectation propagation 
"
165,"[approximate, inference, variational, inference]"," variational methods origins century work euler lagrange others calculus variations standard calculus concerned ﬁnding derivatives functions think function mapping takes value variable input returns value function output derivative function describes output value varies make inﬁnitesimal changes input value similarly deﬁne functional mapping takes function input returns value functional output example would entropy takes probability distribution input returns quantity variational inference output introduce concept functional derivative presses value functional changes response inﬁnitesimal changes input function feynman rules calculus variations mirror standard calculus discussed appendix many problems expressed terms optimization problem quantity optimized functional solution obtained exploring possible input functions ﬁnd one maximizes minimizes functional variational methods broad applicability include areas ﬁnite element methods kapur maximum entropy schwarz although nothing intrinsically approximate variational methods naturally lend ﬁnding approximate solutions done restricting range functions optimization performed instance considering quadratic functions considering functions composed linear combination ﬁxed basis functions coefﬁcients linear combination vary case applications probabilistic ference restriction may example take form factorization assumptions jordan jaakkola let consider detail concept variational optimization applied inference problem suppose fully bayesian model parameters given prior distributions model may also latent variables well parameters shall denote set latent variables parameters similarly denote set observed variables example might set independent identically distributed data probabilistic model speciﬁes joint distribution goal ﬁnd approximation posterior distribution well model evidence discussion decompose log marginal probability using deﬁned differs discussion parameter vector longer appears parameters stochastic variables absorbed since chapter mainly interested continuous variables used integrations rather summations formulating decomposition ever analysis goes unchanged variables discrete simply replacing integrations summations required maximize lower bound optimization respect distribution equivalent minimizing divergence allow possible choice maximum lower bound occurs diver gence vanishes occurs equals posterior distribution approximate inference figure illustration variational approximation example considered earlier figure left hand plot shows original distribution yellow along laplace red variational green approx imations right hand plot shows negative logarithms corresponding curves however shall suppose model working true posterior distribution intractable therefore consider instead restricted family distributions seek member family divergence minimized goal restrict family sufﬁciently comprise tractable distributions time allowing family sufﬁciently rich ﬂexible provide good approximation true posterior distribution important emphasize restriction imposed purely achieve tractability sub ject requirement use rich family approximating distributions possible particular ﬁtting associated highly ﬂexible distributions using ﬂexible approximations simply allows approach true posterior distribution closely one way restrict family approximating distributions use paramet ric distribution governed set parameters lower bound becomes function exploit standard nonlinear optimization techniques determine optimal values parameters example approach variational distribution gaussian optimized respect mean variance shown figure 
"
166,"[approximate, inference, variational, inference, factorized, distributions]"," consider alternative way restrict family distri butions suppose partition elements disjoint groups denote assume distribution factorizes respect groups variational inference emphasized making assumptions distri bution particular place restriction functional forms individual factors factorized form variational inference corresponds proximation framework developed physics called mean ﬁeld theory parisi amongst distributions form seek distri bution lower bound largest therefore wish make free form variational optimization respect distributions optimizing respect factors turn achieve ﬁrst substitute dissect dependence one factors denoting simply keep notation uncluttered obtain const const deﬁned new distribution relation const notation denotes expectation respect distributions variables suppose keep ﬁxed maximize spect possible forms distribution easily done rec ognizing negative kullback leibler divergence thus maximizing equivalent minimizing kullback leibler 
"
167,"[approximate, inference, leonhard, euler]"," euler swiss mathematician physicist worked petersburg berlin widely considered one greatest mathematicians time certainly proliﬁc collected works ﬁll volumes amongst many contributions formulated modern theory function developed together lagrange calculus variations discovered formula relates four important numbers mathematics last years life almost totally blind yet pro duced nearly half results period approximate inference divergence minimum occurs thus obtain general expression optimal solution given const worth taking moments study form solution provides basis applications variational methods says log optimal lution factor obtained simply considering log joint distribution hidden visible variables taking expectation respect factors additive constant set normalizing distribution thus take exponential sides normalize exponent practice shall ﬁnd convenient work form instate normalization constant required inspection become clear subsequent examples set equations given represent set con sistency conditions maximum lower bound subject factorization constraint however represent explicit solution expression right hand side optimum depends expectations computed respect factors therefore seek consistent solution ﬁrst initializing factors appropriately cycling factors replacing turn revised estimate given right hand side evaluated using current estimates factors convergence guaranteed bound convex respect factors boyd vandenberghe 
"
168,"[approximate, inference, leonhard, euler, properties, factorized, approximations]"," approach variational inference based factorized approximation true posterior distribution let consider moment problem approx imating general distribution factorized distribution begin discuss problem approximating gaussian distribution using factorized gaussian provide useful insight types inaccuracy introduced using factorized approximations consider gaussian distribution two correlated variables mean precision elements due symmetry precision matrix suppose wish approximate distribution using factorized gaussian form ﬁrst apply general result ﬁnd expression variational inference optimal factor useful note right hand side need retain terms functional dependence terms absorbed normalization constant thus const const const next observe right hand side expression quadratic function identify gaussian distribution worth emphasizing assume gaussian rather derived result variational optimization divergence possible distributions note also need consider additive constant explicitly represents normalization constant found end inspection required using technique completing square identify section mean precision gaussian giving symmetry also gaussian written note solutions coupled depends expectations computed respect vice versa general address treating variational solutions estimation equations cycling variables turn updating convergence criterion satisﬁed shall see example shortly however note problem sufﬁciently simple closed form solution found particular see two equations satisﬁed take easily shown solution provided distributionnonsingular result illustrated figure see exercise mean correctly captured variance controlled direction smallest variance variance along orthogonal direction signiﬁcantly estimated general result factorized variational proximation tends give approximations posterior distribution compact way comparison suppose instead minimizing reverse kullback leibler divergence shall see form divergence approximate inference figure comparison two alternative forms kullback leibler divergence green contours corresponding standard deviations correlated gaussian distribution two variables red contours represent corresponding levels approximating distribution variables given product two independent univariate gaussian distributions whose parameters obtained minimization kullback leibler divergence reverse kullback leibler divergence section const easily done using lagrange multiplier give exercise case ﬁnd optimal solution given corre apply result illustrative example gaussian distribution difference two results understood noting large positive contribution kullback leibler divergence variational inference figure another comparison two alternative forms kullback leibler divergence blue contours show bimodal distribution given mixture two gaussians red contours correspond single gaussian distribution best approximates sense minimizing kullback leibler divergence red contours correspond gaussian distribution found numerical minimization kullback leibler divergence showing different local minimum kullback leibler divergence regions space near zero unless also close zero thus minimizing form divergence leads distributions avoid regions small conversely kullback leibler divergence minimized distributions nonzero regions nonzero gain insight different behaviour two diver gences consider approximating multimodal distribution unimodal one illustrated figure practical applications true posterior distri bution often multimodal posterior mass concentrated number relatively small regions parameter space multiple modes may arise nonidentiﬁability latent space complex nonlinear dependence parameters types multimodality encountered chapter context gaussian mixtures manifested multiple maxima likelihood function variational treatment based minimization tend ﬁnd one modes contrast minimize resulting approximations would average across modes context mixture model would lead poor predictive distributions average two good parameter values typically good parameter value possible make use deﬁne useful inference procedure requires rather different approach one discussed considered detail discuss expectation propagation section two forms kullback leibler divergence members alpha family approximate inference divergences ali silvey amari minka deﬁned continuous parameter kullback leibler divergence corresponds limit whereas corresponds limit values equality exercise suppose ﬁxed distribution minimize respect set distributions divergence zero forcing values typically estimate support tend seek mode largest mass conversely divergence zero avoiding values typically stretch cover estimate support obtain symmetric divergence linearly related hellinger distance given square root hellinger distance valid distance metric 
"
169,"[approximate, inference, leonhard, euler, example, univariate, gaussian]"," illustrate factorized variational approximation using gaussian distributionsingle variable mackay goal infer posterior distribution mean precision given data set observed values assumed drawn independently gaussian likelihood function given exp introduce conjugate prior distributions given gam gam gamma distribution deﬁned together distributions constitute gaussian gamma conjugate prior distribution section simple problem posterior distribution found exactly takes form gaussian gamma distribution however tutorial purposes exercise consider factorized variational approximation posterior distribution given variational inference note true posterior distribution factorize way optimum factors obtained general result follows const const completing square see gaussian mean precision given exercise note gives maximum likelihood result precision inﬁnite similarly optimal solution factor given const const hence gamma distribution gam parameters exhibits expected behaviour exercise emphasized assume speciﬁc functional forms optimal distributions arose naturally structure likelihood function corresponding conjugate priors section thus expressions optimal distributions depends moments evaluated respect distribution one approach ﬁnding solution therefore make initial guess say moment use compute distribution given revised distri bution extract required moments use recompute distribution since space hidden variables example two dimensional illustrate variational approximation posterior distribution plotting contours true posterior factorized approximation illustrated figure approximate inference figure illustration variational inference mean precision univariate gaussian distribution contours true posterior distribution shown green contours initial factorized approximation shown blue estimating factor estimating factor contours optimal factorized approximation iterative scheme converges shown red general need use iterative approach order solve optimal factorized posterior distribution simple example considering however ﬁnd explicit solution solving simultaneous equations optimal factors simplify expressions considering broad noninformative priors although parameter settings correspond improper priors see posterior distribution still well deﬁned using standard result mean gamma distribution together appendix using obtain ﬁrst second order moments variational inference form substitute moments solve give exercise recognize right hand side familiar unbiased estimator variance univariate gaussian distribution see use bayesian approach avoided bias maximum likelihood solution section 
"
170,"[approximate, inference, leonhard, euler, model, comparison]"," well performing inference hidden variables may also wish compare set candidate models labelled index prior probabilities goal approximate posterior probabilities observed data slightly complex situation considered far different models may different structure indeed different dimensionality hidden variables cannot fore simply consider factorized approximation must instead recog nize posterior must conditioned must consider readily verify following decomposition based variational distribution exercise lower bound given assuming discrete analysis applies continuous latent variables provided summations replaced integrations maximize respect distribution using lagrange multiplier result exercise exp however maximize respect ﬁnd solutions different coupled expect conditioned proceed instead ﬁrst optimizing individually optimization approximate inference subsequently determining using malization resulting values used model selection model averaging usual way 
"
171,"[approximate, inference, illustration, variational, mixture, gaussians]"," return discussion gaussian mixture model apply variational inference machinery developed previous section provide good illustration application variational methods also demonstrate bayesian treatment elegantly resolves many difﬁculties associated maximum likelihood approach attias reader encouraged work example detail provides many insights practical appli cation variational methods many bayesian models corresponding much sophisticated distributions solved straightforward extensions general izations analysis starting point likelihood function gaussian mixture model lustrated graphical model figure observation corresponding latent variable comprising binary vector elements denote observed data set similarly denote latent variables write conditional distribution given mixing coefﬁcients form similarly write conditional distribution served data vectors given latent variables component parameters note working terms precision matrices rather covariance matrices somewhat simpliﬁes mathemat ics next introduce priors parameters analysis considerably simpliﬁed use conjugate prior distributions therefore choose section dirichlet distribution mixing coefﬁcients dir symmetry chosen parameter components normalization constant dirichlet distribution deﬁned illustration variational mixture gaussians figure observations denotes denotes seen parameter interpreted effective section small posterior distribution inﬂuenced primarily data rather prior similarly introduce independent gaussian wishart prior governing mean precision gaussian component given symmetry section resulting model represented directed graph shown figure note link since variance distribution function example provides nice illustration distinction latent variables parameters variables appear inside plate regarded outside plate ﬁxed order formulate variational treatment model next write joint distribution random variables given observed approximate inference consider variational distribution factorizes latent variables parameters remarkable assumption need make order obtain tractable practical solution bayesian mixture model particular functional form factors determined automatically optimization variational distribution note omitting sub scripts distributions much distributions relying arguments distinguish different distributions corresponding sequential update equations factors easily derived making use general result let consider derivation update equation factor log optimized factor given const make use decomposition note interested functional dependence right hand side variable thus terms depend absorbed additive normalization constant giving const substituting two conditional distributions right hand side absorbing terms independent additive constant const deﬁned dimensionality data variable taking exponential sides obtain requiring distribution normalized noting value quantities binary sum values obtain exercise illustration variational mixture gaussians see optimal solution factor takes functional form prior note given exponential real quantity quantities nonnegative sum one required discrete distribution standard result see quantities playing role responsibilities note optimal solution depends moments evaluated respect distributions variables variational update equations coupled must solved iteratively point shall ﬁnd convenient deﬁne three statistics observed data set evaluated respect responsibilities given note analogous quantities evaluated maximum likelihood algorithm gaussian mixture model let consider factor variational posterior distribution using general result const observe right hand side expression decomposes sum terms involving together terms involving implies variational posterior factorizes give terms involving comprise sum terms involving leading factorization approximate inference identifying terms right hand side depend const used taking exponential sides recognize dirichlet distribution dir components given finally variational posterior distribution factorize product marginals always use product rule write form two factors found inspecting reading terms involve result expected gaussian wishart distribution given exercise deﬁned update equations analogous step equations algorithm maximum likelihood solution mixture gaussians see computations must performed order update variational posterior distribution model parameters involve evaluation sums data set arose maximum likelihood treatment order perform variational step need expectations representing responsibilities obtained normalizing given see expression involves expectations respect variational distributions parameters easily evaluated give exercise illustration variational mixture gaussians introduced deﬁnitions digamma function deﬁned results follow standard properties wishart dirichlet distributions appendix substitute make use obtain following result responsibilities exp notice similarity corresponding result responsibilities maximum likelihood written form exp used precision place covariance highlight similarity thus optimization variational posterior distribution involves cycling two stages analogous steps maximum likelihood algorithm variational equivalent step use current distributions model parameters evaluate moments hence evaluate subsequent variational equivalent step keep responsibilities ﬁxed use compute variational distribution parameters using case see variational posterior distribution functional form corresponding factor joint distribution general result consequence choice conjugate distributions section figure shows results applying approach rescaled old faith full data set gaussian mixture model components see convergence two components expected values mixing coefﬁcients numerically distinguishable prior values effect understood qualitatively terms automatic trade bayesian model ﬁtting data complexity model section complexity penalty arises components whose parameters pushed away prior values components take essentially responsibility plaining data points hence see see parameters revert prior values principle components ﬁtted slightly data points broad priors effect small seen numerically variational gaussian mixture model expected values mixing coefﬁcients posterior distribution given exercise consider component prior broad component plays role model whereas approximate inference figure variational bayesian mixture gaussians plied old faithful data set ellipses denote one standard deviation density contours components density red ink inside ellipse corresponds mean value mixing coefﬁcient component number top left diagram shows number iterations variational infer ence components whose expected mixing coefﬁcient numerically distinguishable zero plotted prior tightly constrains mixing coefﬁcients figure prior mixing coefﬁcients dirichlet form recall figure prior favours solutions mixing coefﬁcients zero figure obtained using resulted two components nonzero mixing coefﬁcients instead choose obtain three components nonzero mixing coefﬁcients six components nonzero mixing coefﬁcients seen close similarity variational solution bayesian mixture gaussians algorithm maximum likelihood fact consider limit bayesian treatment converges maximum likelihood algorithm anything small datasets dominant computational cost variational algorithm gaussian mixtures arises evaluation responsibilities together evaluation inversion weighted data covariance matrices computations mirror precisely arise maximum likelihood algorithm little computational overhead using bayesian approach compared traditional maximum likelihood one however substantial advantages first singularities arise maximum likelihood gaussian component collapses onto speciﬁc data point absent bayesian treatment illustration variational mixture gaussians indeed singularities removed simply introduce prior use map estimate instead maximum likelihood furthermore ﬁtting choose large number components mixture saw figure finally variational treatment opens possibility determining optimal number components mixture without resorting techniques cross validation section 
"
